,BrainWgt,NonD,Dream,Sleep,Span,Gest,Pred,Exp,Danger
0,5712.0,8.350000000000001,1.8,3.3,38.6,645.0,3,5,3
1,6.6,6.3,2.0,8.3,4.5,42.0,3,1,3
2,44.5,8.350000000000001,1.8,12.5,14.0,60.0,1,1,1
3,5.7,8.350000000000001,1.8,16.5,15.1,25.0,5,2,3
4,4603.0,2.1,1.8,3.9,69.0,624.0,3,5,4
5,179.5,9.1,0.7,9.8,27.0,180.0,4,4,4
6,0.3,15.8,3.9,19.7,19.0,35.0,1,1,1
7,169.0,5.2,1.0,6.2,30.4,392.0,4,5,4
8,25.6,10.9,3.6,14.5,28.0,63.0,1,2,1
9,440.0,8.3,1.4,9.7,50.0,230.0,1,1,1
10,6.4,11.0,1.5,12.5,7.0,112.0,5,4,4
11,423.0,3.2,0.7,3.9,30.0,281.0,5,5,5
12,2.4,7.6,2.7,10.3,15.1,79.0,2,1,2
13,419.0,8.350000000000001,1.8,3.1,40.0,365.0,5,5,5
14,1.2,6.3,2.1,8.4,3.5,42.0,1,1,1
15,25.0,8.6,0.0,8.6,50.0,28.0,2,2,2
16,3.5,6.6,4.1,10.7,6.0,42.0,2,2,2
17,5.0,9.5,1.2,10.7,10.4,120.0,2,2,2
18,17.5,4.8,1.3,6.1,34.0,79.0,1,2,1
19,81.0,12.0,6.1,18.1,7.0,79.0,1,1,1
20,680.0,8.350000000000001,0.3,10.45,28.0,400.0,5,5,5
21,115.0,3.3,0.5,3.8,20.0,148.0,5,5,5
22,1.0,11.0,3.4,14.4,3.9,16.0,3,1,2
23,406.0,8.350000000000001,1.8,12.0,39.3,252.0,1,4,1
24,325.0,4.7,1.5,6.2,41.0,310.0,1,3,1
25,119.5,8.350000000000001,1.8,13.0,16.2,63.0,1,1,1
26,4.0,10.4,3.4,13.8,9.0,28.0,5,1,3
27,5.5,7.4,0.8,8.2,7.6,68.0,5,3,4
28,655.0,2.1,0.8,2.9,46.0,336.0,5,5,5
29,157.0,8.350000000000001,1.8,10.8,22.4,100.0,1,1,1
30,56.0,8.350000000000001,1.8,10.45,16.3,33.0,3,5,4
31,0.14,7.7,1.4,9.1,2.6,21.5,5,2,4
32,0.25,17.9,2.0,19.9,24.0,50.0,1,1,1
33,1320.0,6.1,1.9,8.0,100.0,267.0,1,1,1
34,3.0,8.2,2.4,10.6,15.1,30.0,2,1,1
35,8.1,8.4,2.8,11.2,15.1,45.0,3,1,3
36,0.4,11.9,1.3,13.2,3.2,19.0,4,1,3
37,0.33,10.8,2.0,12.8,2.0,30.0,4,1,3
38,6.3,13.8,5.6,19.4,5.0,12.0,2,1,1
39,10.8,14.3,3.1,17.4,6.5,120.0,2,1,1
40,490.0,8.350000000000001,1.0,10.45,23.6,440.0,5,5,5
41,15.5,15.2,1.8,17.0,12.0,140.0,2,2,2
42,115.0,10.0,0.9,10.9,20.2,170.0,4,4,4
43,11.4,11.9,1.8,13.7,13.0,17.0,2,1,2
44,180.0,6.5,1.9,8.4,27.0,115.0,4,4,4
45,12.1,7.5,0.9,8.4,18.0,31.0,5,5,5
46,39.2,8.350000000000001,1.8,12.5,13.7,63.0,2,2,2
47,1.9,10.6,2.6,13.2,4.7,21.0,3,1,3
48,50.4,7.4,2.4,9.8,9.8,52.0,1,1,1
49,179.0,8.4,1.2,9.6,29.0,164.0,2,3,2
50,12.3,5.7,0.9,6.6,7.0,225.0,2,2,2
51,21.0,4.9,0.5,5.4,6.0,225.0,3,2,3
52,98.2,8.350000000000001,1.8,2.6,17.0,150.0,5,5,5
53,175.0,3.2,0.6,3.8,20.0,151.0,5,5,5
54,12.5,8.350000000000001,1.8,11.0,12.7,90.0,2,2,2
55,1.0,8.1,2.2,10.3,3.5,79.0,3,1,2
56,2.6,11.0,2.3,13.3,4.5,60.0,2,1,2
57,12.3,4.9,0.5,5.4,7.5,200.0,3,1,3
58,2.5,13.2,2.6,15.8,2.3,46.0,3,2,2
59,58.0,9.7,0.6,10.3,24.0,210.0,4,3,4
60,3.9,12.8,6.6,19.4,3.0,14.0,2,1,1
61,17.0,8.350000000000001,1.8,10.45,13.0,38.0,3,1,1
