title,fraudulent,text
PHP Developer,0,"PHP Developer You're a skilled developer. You build, release, improve and grow every day. Out there are numerous challenges for you to take on. But what will be your next step?We know what's important to you. We take the time to get know you, as a person and as a developer. We match you to top notch companies that fit you like a glove. The kind of company that has potential. Just like you.To make sure it's a match made in heaven, we talk to you first. Test your skill level and see what it is that you want from a company and your career in particular.When we introduce you to a company, we're sure there's a match.If any if these questions sounds familiar, know that we make sure we have the answers before introducing you. What you will be doingComing up with new functionalities and building them.Improving the technology that runs over 300 web shops.Improving the user-friendliness of all of those web shops.How will you be doing this?You are an all-rounder in a Scrum team. You will have your own specialization, but you will also be able to perform all other tasks within the team.You prioritize your own work together with your team and Product Owner. You will receive immediate feedback from end users and you will have a lot of opportunities to experiment.You will be using the right tools for whatever job will be thrown at you. Choices that were made in the past are not rules.You will work in a motivated team to meet ambitious deadlines. There is always a budget for good ideas.Big data is your guru, your gut feeling isn't. To measure is to know. preferably university degree in Computer Science, Electronic Engineering or Mathematics.Minimum of three years experience in a similar position.You are a Wizard when it comes to web technology.PHP specialist, or willing to learn (in which case we'll expect you to be really, really good in another language).Skilled in SQL.You understand what a user wants and feels.Experience in large codebases and projects is a plus.Willing to relocate to Rotterdam (or to reasonable daily travel distance). A position at one of the fastest growing companies in the Netherlands.A joyous salary.Lots of room for your creativity.Ridiculously good training opportunities.A discount on our entire product range.25 days of paid leave plus an average of 6 public holidays.Compensation of travelling-expenses.Great pension scheme.A contract for an indefinite period.Relentless constant techno-music playing in your team work space. Or complete silence, if that's your thing.A phenomenal atmosphere in the office, including very-free office drinks and legendary parties.Help in relocationBefore you move here:We’ll fly you here to sign your contract and help you set up some of the first necessities.Bring your partner if you like.We’ll help you obtain a social security number, insurances, find a tax advisor, and everything else you need to feel at home here.We’ll take care of a group disability insurance and supplementary pension scheme.When you move here:We’ll pay for the flight for you and your family.We’ll arrange and pay for a furnished rental apartment for you and your family during your trial period.We’ll pay for moving your stuff here (if you still want it).We’ll pay for storing your furniture during your trial period (if required)We’ll help you find a permanent home.After you move here:We’ll pay for one flight to and from your home country per year.We’ll arrange a Dutch language course for you and your partner. We’ll help your partner to find a job or day activity."
CUSTOMER SERVICE AGENT ,1,"CUSTOMER SERVICE AGENT  Aegis is a global business services provider in the area of experience management. We provide a suite of solutions for our clients, from strategy and design to implementation and execution, that help global brands deliver memorable end-customer experiences.With a presence in 56 locations across 13 countries and with more than 55,000 employees, Aegis manages over a billion customer interactions every year for over 300 clients across verticals such as BFSI, Telecom, Healthcare, Travel and Hospitality, Consumer Goods, Retail, and Technology. Aegis manages, enables, extends, and enhances business experiences for its clients and their customers across consulting, technology, outsourcing, and training and education.Aegis is an Essar enterprise. Essar is a USD 39 billion conglomerate.- See more at: #URL_e8c499d2ca1fbf5755d4b1b178935b9083dccbe9587203a143de4981e0d2481a###URL_96e4f476dd7b820dc543c315e6e034d8241f8c53721d5ed893beb836062edb6e# Location DALLAS, TX , USAJob DescriptionRepresentative, Customer Service - TX - Dallas Customer Service Representative    POSITION PURPOSE: The role of the Customer Service Representative is to develop customer relationships to increase customer loyalty and interact with customers in an efficient and professional manner. The Customer Service Representative is responsible for answering incoming calls from customers, answering inquiries and questions, handling complaints, troubleshooting problems and providing information that ultimately resolves the request.  As this environment is fast paced, you must be able to work under pressure and accurately process a high volume of calls on a daily basis and follow up with the request until it is resolved. You will be expected to provide the highest level of customer service in a friendly and helpful manner. This position requires an eye for detail and the ability to adapt to changing workloads and requests.RESPONSIBILITIES:  Accurate and timely follow up for internal and external customersEnsure Customer Service levels are met or exceededIdentify, research, and resolve customer issues using the various methodsComplete call logs and reports as neededWork in collaboration with internal and external customers to ensure appropriate standards are outlined and implemented Propose and help execute new approaches/procedures to drive continual improvements in the efficiency and effectiveness of the departmentMay be required to perform miscellaneous tasks to provide additional support to the organizationProactively identify trends from customer contacts and review with managerAnswer incoming calls and emails and satisfy the customer’s queries with the best knowledge &amp; expertise  SKILLS:  Strong Customer Service SkillsProven ability to work cooperatively as a member of a team as well as work independently to achieve goals and targetsAbility to follow through on requests and successfully close issuesProven ability to maintain accurate and detailed recordsExcellent oral and written communication skillsDemonstrated creative problem-solving skillsPrepare special reports upon requestAdhere to the Code of Business EthicsConduct oneself with honesty and integrity above all else. Commit to the highest ethical standardsEDUCATION AND EXPERIENCE: HIGH SCHOOL DIPLOMA HIGH SCHOOL DIPLOMA HEALTH CARE,DENTAL INSURANCE, LIFE INSURANCE, 401K , RETIREMENT STOCK PLANS"
VP Marketing & Growth,0,"VP Marketing & Growth Depop is an exciting new mobile marketplace where you can sell things by simply taking a picture, as well as follow your friends and buy unique things.Depop has already been received with great enthusiasm in our test regions and it is now beginning to expand into the global market, following funding from highly prestigious venture capitalists.This is an extremely exciting time to join a young, fast growing and very promising company based in the Shoreditch area, backed by some of the most prestigious VC’s in the technology market. Depop is the most fun way to buy and sell straight from your pocket. Sell &amp; buy unique things by simply taking a picture. It’s social, users and small independent shops recently voted one of London’s top 10 most loved apps. Depop is a fast-growing mobile social marketplace on a mission to revolutionise mobile e-commerce. This is an extremely exciting opportunity to join an early stage company based in the Shoreditch area of London, backed by some of the most prestigious VC’s in the industry to accelerate us build the future of mobile shopping.We’re looking for an experienced Senior Marketer to continue the momentum in our growth path and help us multiply the number of people downloading and using our much loved app. We aim to continue this growth through impactful marketing in the UK and internationally. We are seek a marketing leader who can build a compelling brand presence and translate our core positioning into actionable, locally relevant, growth oriented, data driven marketing.About the Role:You’ll be responsible for the strategic marketing plan and its implementation to drive consistent growth in new markets. This is a broad marketing and growth ownership role covering all that goes on inside and around Depop to generate interest and customer growth.We’d like you to:Build out an in-house marketing team, manage partners, Editorial, PR, Community and work collaboratively with cross-functional teams including Product, Operations, Development and regional leadership to drive your visionBuild and nurture a network of local ambassadors and community managers around the globeLead and manage growth partnerships with VIPs, brands, media etc.Develop, test and implement strategies and build out a creative platform that communicates a compelling value proposition for current and prospective usersDrive customer acquisition and retention communication across online and offline channelsRegional marketing build-outContinuous analysis of customer, competitor and market behaviourLeverage social media channels as growth driversBe the relentless user advocate; ensure all marketing activities feel local and personal; articulate market nuances for other teams who aren’t familiar with the region (e.g. US) About You:The ideal candidate will have a proven track record of launching a world-class mobile app across multiple markets where a strong community has been builtBe naturally data-driven and a full stack marketer across digital marketing, SEM, experiential campaigns, offline marketing, partnerships and sponsorships, email and socialBe empathetic to our users and market to our audience in unique waysAppreciate the nuances of marketing a web product vs mobile appHave been a budget owner within a high growth businessCollaborate with all areas of the business but especially with design, product and developmentExceptionally strong team leader, measurer of ROI, and be accountable for resultsAbility to thrive in a fast-paced startup environmentStrong analytical, planning, and forecasting skillsOutstanding communication and presentation skills; able to articulate a vision, strategy or idea clearlyAble to work at both strategic and tactical levels…not afraid to “get your hands dirty”Digital and mobile nativeAppreciation for design and a genuine passion for DepopIt’s a great time to join, be impactful and have a voice on our next stage of growing the company. Generous salary and optionsGreat offices near Old StreetApple equipmentWorking with a well-funded, amazing and very friendly teamIf this sounds like the role for you, please apply with any questions that you may have. We look forward to hearing from you!"
SAP BW Developer/Architect,1,"SAP BW Developer/Architect  Assist with Full Lifecycle BW Implementation Key Qualifications:Minimum of 8 years of experience as a SAP BW developer/architect for a large global organizationBachelor degree in Computer Science or related fieldExperience with multiple full lifecycle SAP BW global implementationsAbility to manage and lead global project teams and implementationsProficient with all stages of a project including Business Requirement gathering, Data Modeling, Design &amp; Build, Testing, Cutover, Global Rollouts, and Post Implementation SupportExperience in the Oil and Gas industry is highly desirableExcellent verbal and written communication skillsTeam player with the ability to work independently "
Administrative Assistant,1,"Administrative Assistant With decades of experience and more than 5000 industry experts in 51 countries, MSX International serves as a perpetual pioneer, opening new roads in the retail network and human capital solutions spaces. Leveraging our expertise in the passionate pursuit of outstanding results, we are adept at bringing innovative solutions to our customers and their complex challenges.Through our industry experience, leading talent, cutting-edge technologies and best practices, we’re serving your business needs to help you achieve your goals. Our dedicated team is committed to making your business more efficient, cost-effective, profitable and successful. We have been an innovator in the automotive industry for more than half a century and have created a company that identifies and maximizes opportunities to effectively solve problems and deliver comprehensive business strategies that give you the competitive advantage. MSX International is currently seeking an Administrative Assistant to support Vehicle Energy Management Chief Engineer in high-paced and high-profile office environment. Responsibilities including maintaining office filing system and record retention, managing incoming and outgoing mail, e-mail correspondence and daily schedule and meeting preparation. Resolve meeting requests and conflicts in a timely and efficient manner. Provide high quality administrative support on the development and preparation of organization charts, reports, communication and correspondence, spreadsheets, Power Point presentations etc. Coordinate and organize travel plans including scheduling, itineraries, travel expense reports submissions and reconciliations. Maintain and follow-up on assignments and requested information as required - Routinely interact with Vice Presidents, Presidents, CEO's, Board Members and their staffs - Interface with all union workers to ensure facilities issues are taken care of. Responsible for International Service Employee (ISE) duties including, taxes, personal bill payments, visas, house set up and move. Maintain the highest level of confidentiality and manage sensitive information with extreme care. Represent office in a professional manner on phone, e-mail, and in person and interface effectively with employees at all levels. The ideal candidate will have a high school Degree, Bachelors degree preferred. Must have strong oral, written and interpersonal communications skills along with strong organizational skills and the ability to work independently with minimal supervision. Ability to plan, prioritize and support multiple assignments and projects simultaneously. Proactive in resolving issues/concerns; proficient in use of Company software (Outlook, PowerPoint, Word, and Excel and other programs as required) and internet. 401k Health benefits, Dental, Child care, Vacation, Bonuses, Company vehicle"
Standards & Practices Executive,0,"Standards & Practices Executive  Role involves monitoring Program Content from compliances regulations likea.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Foul Languageb.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Religious Sentimentsc.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Abusive languaged.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Other non-allowable content on TV 1- 5 years experience, with atleast 1 yr of relevant experience "
Digital Marketing Manager,0,"Digital Marketing Manager Want to build a 21st century financial service?We're convinced that that there is a need for innovation in financial services and that current banks will not be the ones providing this. Instead this innovation will come from companies like TransferWise and we're on a hunt for great minds who think like we do. We're on the hunt for a&nbsp;digital marketing manager&nbsp;- a talented professional who'll help grow our online performance marketing channels into a streamlined digital acquisition program.You're top of the game because you think differently, and you'll fit with&nbsp;TransferWise&nbsp;because we think differently too. We're looking for somebody to- Drive customer acquisition from performance marketing channels- Test, grow &amp; optimise across the full online mix- Deliver growth at ever-improving CPAs in our key European markets and the USIs this is you?Self-starter: take charge and deliver on your own, pro-active and independentFresh-thinker, non-institutionalised, creative and willing to go head-to-head with the banking industryMaster of PPC, Display, SEO, lead-generation and all key online channelsMetrics/data driven, completely at home with quantitative analysis, testing &amp; optimisation3+ years experience with hands on marketingHave worked for an online financial services company or e-commerce companyExperience working in a startup is a plus - we don&rsquo;t have HR or other support systems, so you need to be a good swimmer "
Customer  Service Position ,1,"Customer  Service Position   Answers customer/client requests or inquiries concerning servicesResponsible for improving customer retention through programs and service provided to the customerContinually maintain working knowledge of all company products, services and promotionsMake recommendations according to customer's needs on features, accessories, upgrades and rate plansResearch, resolve, and respond to customer issues in a timely manner Strong communication skills, written and oralGood documentation skills and solid written grammarAble to accurately follow technical written work instructionsFriendly personality that enjoys assisting customersExcellent customer service and troubleshooting skillsAble to work in a structured environmentStrong organization, time management, and prioritizing skills INSURANCE:Medical, Dental, and Vision available the first day of the month following your hire date and Life Insurance Eligible ImmediatelyPAID TIME OFF:Vacation, Personal Time, Sick Time, and Holidays"
Clinical Education Manager - Surgical Services ,1,"Clinical Education Manager - Surgical Services   Apply using below link #URL_569f6d743085a3f7cde7f8ab04acce1279729bd4865e8947ff18818e0bbfc397#Desert Regional Medical Center has provided a full range of quality medical care to one of the world's most famous resort area since 1951. Our 367 bed acute tertiary care facility is fully accredited by the Joint Commission on the Accreditation of Healthcare Organizations (JCAHO), the nation's oldest and largest hospital accreditation agency.We are located in Palm Springs, California, historically renowned as a legendary celebrity getaway and resort community. The dramatic desert environment offers spectacular views of the beautifully landscaped gardens, royal palms, majestic mountains and clear blue skies. Palm Springs and the fast-growing surrounding areas offer a variety of well-known restaurants, shops, cultural activities such as theater, museums and film festivals, and outdoor recreation including championship golf, tennis, hiking and horseback riding.We are seeking a Clinical Education Manager - Surgical Services.The Surgical Services Education Manager is an experienced professional nurse who through education, clinical direction, staff development, consultation, nursing research and management guidance works towards achieving the goals of surgical services and the organization.The Education Manager is responsible for the following:Planning and coordination of orientation for all new personnel, nursing students, surgical tech students, and vendors to surgical services.Evaluate staff's progress during the first 6 months of employment and provides input thereafter.Design, review, and revise competency validation tools and puts those tools to use in assessing and validating staff competency.Serve as a consultant for patient care issues and is jointly responsible with the Director and Clinical Manager for assuring that policies and procedures required by regulatory bodies and accrediting agencies are current and complete.Through research and quality assurance activities, identify, create and test solutions and evaluate the effectiveness of clinical practices and programs.  "
CNA/Caregivers,0,"CNA/Caregivers Mission StatementGood Life Home Care is committed to providing superior, safe and cost-effective home health services, so our patients can live as independently as possible. We also seek to coordinate community and agency resources, and to decrease the burdens of illness and the unnecessary duplication of services, resulting in lifestyle improvements and positive outcomes for our patients.Our VisionGood Life Home Care is committed to serving the home health needs of every community in the counties in which we are licensed. We emphasize honor, professionalism and excellence.Our Goals• To be the premier home health agency in every market we serve.• To treat every patient with dignity and respect.• To remain a family-oriented operation.• To continually grow in size and scope, while maintaining a high standard of quality. Caregiver’s/CNA’s needed for growing Companion CompanyOpportunities in the Concord area, Days, PM’s and Weekends, Short Shifts, prnGood Life Companions is looking for caring and compassionate CNA’s to work within our clients’ homes offering support with daily living tasks and personal care.  The ideal companion must have good communication skills, be reliable, prompt and honest and comfortable working in the client’s home. Responsibilities may include meal preparation, light housekeeping, medication reminders, errands and personal care such as bathing, dressing and grooming.  CNA certificate in the state of California - preferredCurrent CPRDriver’s License and Auto InsuranceReliable transportation Clean driving recordIf you are a skilled, responsible and compassionate individual and would enjoy working with a growing company offering flexible schedules we’d like to hear from you. Please submit your application or resume on our website at#URL_ce0caeeb1106f73094d28dd8e549d3e5ce120474ef0198953789d#PHONE_496ec343d845ee529926608b8ba6dc72853ea6e17532af0c1ac1eedb813675f5##  or call Nancy at #PHONE_4b6125041419467b0f461fa56cc8b72fb15f3cdcbe16a554407daf683bbf2b47# Competitive benefits"
